ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1369,Jharkhand,Jamshedpur,Locality_235,Independent House,5,3216,242.93,7553.793532,2020,Semi-furnished,8,10,5,4,2,High,Yes,No,"Pool, Clubhouse, Gym, Garden",West,Broker,Ready_to_Move
1370,Assam,Silchar,Locality_329,Apartment,4,2981,199.65,6697.416974,2014,Unfurnished,23,20,11,10,10,Medium,No,No,"Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
1371,Uttar Pradesh,Noida,Locality_154,Independent House,1,4325,441.83,10215.72254,2010,Semi-furnished,19,9,15,2,5,Medium,No,Yes,"Playground, Gym",West,Builder,Under_Construction
1372,West Bengal,Kolkata,Locality_477,Independent House,1,741,301.88,40739.54116,2008,Furnished,18,10,17,6,2,Medium,Yes,No,"Pool, Garden, Clubhouse, Gym, Playground",East,Owner,Under_Construction
1373,Odisha,Cuttack,Locality_90,Villa,5,1911,279.72,14637.36264,2003,Furnished,2,13,22,6,9,Low,Yes,No,"Garden, Playground, Gym, Clubhouse",West,Builder,Ready_to_Move
1374,Rajasthan,Jodhpur,Locality_131,Apartment,1,911,48.5,5323.819978,2019,Semi-furnished,23,1,6,1,9,High,Yes,Yes,"Gym, Garden, Pool, Playground, Clubhouse",South,Owner,Under_Construction
1375,Tamil Nadu,Coimbatore,Locality_203,Independent House,4,4304,311.88,7246.282528,2015,Furnished,8,4,10,7,7,Low,No,No,Pool,North,Builder,Ready_to_Move
1376,Madhya Pradesh,Indore,Locality_314,Apartment,4,1995,169.93,8517.794486,2020,Unfurnished,7,23,5,2,8,Low,Yes,Yes,"Playground, Garden, Clubhouse, Pool, Gym",West,Owner,Under_Construction
1377,Chhattisgarh,Raipur,Locality_215,Villa,4,552,253.84,45985.50725,2004,Furnished,2,27,21,10,8,Medium,Yes,No,Garden,West,Builder,Ready_to_Move
1378,Madhya Pradesh,Bhopal,Locality_395,Villa,1,2140,388.33,18146.26168,1996,Furnished,18,3,29,2,2,High,Yes,No,Pool,South,Broker,Ready_to_Move
1379,Tamil Nadu,Coimbatore,Locality_96,Independent House,4,4357,214.77,4929.309158,2002,Furnished,12,7,23,6,4,Low,Yes,No,"Gym, Pool, Playground",East,Builder,Ready_to_Move
1380,Punjab,Amritsar,Locality_464,Independent House,4,3126,138.61,4434.101088,1993,Furnished,1,21,32,5,4,High,Yes,No,Pool,South,Owner,Under_Construction
1381,Jharkhand,Jamshedpur,Locality_459,Apartment,2,4403,345.43,7845.332728,2000,Semi-furnished,26,2,25,6,5,Medium,Yes,Yes,Playground,West,Builder,Ready_to_Move
1382,Rajasthan,Jodhpur,Locality_378,Apartment,1,3063,13.05,426.0528893,1997,Semi-furnished,28,8,28,9,5,Medium,Yes,No,"Gym, Playground, Clubhouse",East,Builder,Ready_to_Move
1383,Telangana,Hyderabad,Locality_255,Apartment,4,3721,155.12,4168.771836,2001,Furnished,20,7,24,4,5,High,No,Yes,"Gym, Garden",West,Owner,Ready_to_Move
1384,Chhattisgarh,Bilaspur,Locality_69,Independent House,1,4502,258.66,5745.446468,1996,Semi-furnished,19,27,29,8,1,High,Yes,No,"Gym, Playground, Clubhouse, Garden, Pool",East,Builder,Under_Construction
1385,Uttarakhand,Haridwar,Locality_57,Independent House,3,835,110.6,13245.50898,2009,Semi-furnished,9,23,16,10,1,Low,No,No,"Pool, Playground, Clubhouse, Gym, Garden",South,Builder,Under_Construction
1386,Uttarakhand,Haridwar,Locality_118,Apartment,3,4529,442.9,9779.200707,2006,Furnished,1,11,19,6,10,High,Yes,Yes,"Gym, Garden, Playground, Pool, Clubhouse",West,Broker,Under_Construction
1387,Chhattisgarh,Raipur,Locality_486,Independent House,5,2182,380.09,17419.34005,2022,Unfurnished,26,12,3,6,1,Medium,Yes,Yes,"Pool, Gym",North,Owner,Ready_to_Move
1388,Maharashtra,Mumbai,Locality_467,Independent House,3,815,248.94,30544.78528,2020,Furnished,27,5,5,1,6,Low,No,Yes,Playground,North,Broker,Under_Construction
1389,Uttarakhand,Haridwar,Locality_229,Apartment,1,1985,437.92,22061.46096,2023,Semi-furnished,19,28,2,1,9,Medium,No,Yes,"Playground, Pool, Garden, Clubhouse, Gym",East,Builder,Ready_to_Move
1390,Punjab,Ludhiana,Locality_76,Independent House,5,3933,43.84,1114.670735,1998,Semi-furnished,27,13,27,1,5,Low,Yes,No,"Gym, Garden, Pool",West,Owner,Ready_to_Move
1391,Maharashtra,Nagpur,Locality_284,Apartment,1,2860,118.52,4144.055944,1999,Semi-furnished,16,14,26,4,10,High,Yes,Yes,"Garden, Clubhouse, Gym, Pool, Playground",South,Broker,Ready_to_Move
1392,Gujarat,Surat,Locality_284,Apartment,3,3743,393.46,10511.88886,2007,Furnished,17,29,18,3,3,Low,Yes,Yes,"Pool, Gym",North,Broker,Under_Construction
1393,Punjab,Ludhiana,Locality_79,Villa,5,4024,280.76,6977.137177,2021,Unfurnished,0,18,4,3,4,Medium,No,No,"Playground, Gym, Clubhouse, Garden, Pool",East,Builder,Under_Construction
1394,Kerala,Trivandrum,Locality_133,Villa,5,4999,112.19,2244.24885,2014,Furnished,2,27,11,10,5,Medium,No,No,"Playground, Clubhouse, Garden, Gym, Pool",South,Broker,Ready_to_Move
1395,Haryana,Gurgaon,Locality_302,Independent House,2,3556,434.97,12232.00225,2020,Semi-furnished,0,27,5,5,8,High,No,No,"Clubhouse, Garden, Gym, Playground, Pool",South,Owner,Ready_to_Move
1396,Madhya Pradesh,Bhopal,Locality_359,Villa,5,934,51.15,5476.445396,2017,Unfurnished,13,16,8,4,4,Low,No,Yes,Garden,West,Broker,Ready_to_Move
1397,Maharashtra,Nagpur,Locality_470,Independent House,4,2831,400.63,14151.53656,1991,Unfurnished,23,1,34,8,4,Low,No,Yes,"Playground, Garden",East,Broker,Ready_to_Move
1398,Gujarat,Surat,Locality_404,Apartment,4,3991,179.61,4500.375846,2017,Semi-furnished,1,23,8,3,9,High,Yes,No,"Clubhouse, Garden, Gym",East,Broker,Ready_to_Move
1399,West Bengal,Durgapur,Locality_191,Independent House,5,3169,451.72,14254.33891,2018,Semi-furnished,28,18,7,10,10,Medium,No,No,Pool,South,Builder,Under_Construction
1400,Jharkhand,Jamshedpur,Locality_96,Villa,2,4815,335.66,6971.13188,2019,Unfurnished,8,29,6,2,6,Medium,No,Yes,"Pool, Playground, Clubhouse, Gym, Garden",South,Owner,Under_Construction
1401,Andhra Pradesh,Vishakhapatnam,Locality_166,Independent House,3,735,257.65,35054.42177,2019,Unfurnished,17,8,6,10,2,High,No,No,Garden,North,Builder,Under_Construction
1402,Delhi,Dwarka,Locality_240,Independent House,3,856,30.18,3525.700935,2001,Semi-furnished,29,9,24,5,8,Low,Yes,No,"Garden, Gym, Playground",East,Broker,Ready_to_Move
1403,West Bengal,Kolkata,Locality_485,Apartment,4,866,296.44,34230.94688,1998,Semi-furnished,5,4,27,6,2,Low,No,No,Clubhouse,North,Builder,Ready_to_Move
1404,Maharashtra,Nagpur,Locality_59,Villa,2,2039,388.84,19070.13242,1997,Unfurnished,4,21,28,8,1,Low,No,Yes,"Garden, Gym",West,Owner,Ready_to_Move
1405,Delhi,New Delhi,Locality_436,Independent House,2,3164,458.88,14503.16056,2002,Semi-furnished,21,13,23,9,7,High,No,No,"Gym, Pool, Clubhouse, Garden, Playground",East,Owner,Ready_to_Move
1406,Assam,Guwahati,Locality_97,Independent House,5,4129,162.08,3925.405667,2023,Semi-furnished,24,9,2,5,7,High,Yes,No,Garden,East,Builder,Ready_to_Move
1407,Uttar Pradesh,Noida,Locality_5,Independent House,5,2782,313.78,11278.93602,2012,Unfurnished,26,17,13,9,9,High,Yes,No,"Garden, Clubhouse, Playground",North,Builder,Under_Construction
1408,Andhra Pradesh,Vishakhapatnam,Locality_193,Independent House,2,4846,281.77,5814.486174,2001,Unfurnished,29,29,24,4,9,Medium,Yes,Yes,Playground,East,Owner,Ready_to_Move
1409,Telangana,Warangal,Locality_489,Apartment,3,2277,467.33,20523.935,2010,Unfurnished,6,8,15,8,6,Low,No,Yes,"Gym, Garden, Pool, Clubhouse",East,Owner,Under_Construction
1410,Bihar,Gaya,Locality_9,Villa,4,4232,391.25,9245.037807,2001,Furnished,12,17,24,3,4,High,No,No,"Playground, Gym",North,Broker,Under_Construction
1411,Haryana,Faridabad,Locality_32,Independent House,3,2425,239.56,9878.762887,1998,Semi-furnished,30,30,27,1,5,High,Yes,No,Clubhouse,West,Builder,Under_Construction
1412,Gujarat,Ahmedabad,Locality_184,Independent House,4,4879,237.41,4865.956139,2007,Unfurnished,29,28,18,6,9,High,Yes,No,"Gym, Clubhouse, Pool, Garden",West,Owner,Under_Construction
1413,Madhya Pradesh,Indore,Locality_347,Independent House,2,2649,48.08,1815.024538,2013,Unfurnished,23,9,12,5,6,High,No,No,"Pool, Playground, Garden, Clubhouse",North,Broker,Ready_to_Move
1414,Kerala,Trivandrum,Locality_214,Independent House,1,1447,149.75,10348.99793,2021,Semi-furnished,21,14,4,6,5,High,No,No,"Gym, Pool",South,Owner,Ready_to_Move
1415,Haryana,Gurgaon,Locality_277,Villa,5,604,87.13,14425.49669,2018,Unfurnished,15,15,7,9,6,High,Yes,Yes,"Gym, Playground, Pool, Garden",North,Builder,Ready_to_Move
1416,Jharkhand,Jamshedpur,Locality_194,Apartment,2,3263,317.4,9727.244867,2001,Furnished,11,14,24,8,5,Low,No,Yes,"Pool, Gym, Clubhouse, Garden, Playground",West,Builder,Under_Construction
1417,Uttarakhand,Haridwar,Locality_202,Apartment,4,4445,371.61,8360.179978,1991,Furnished,26,30,34,6,7,Low,No,Yes,"Garden, Gym",South,Builder,Ready_to_Move
1418,Delhi,New Delhi,Locality_401,Independent House,4,4307,255.16,5924.309264,2019,Semi-furnished,26,19,6,9,8,Medium,Yes,Yes,"Garden, Pool",South,Owner,Under_Construction
1419,Karnataka,Mysore,Locality_299,Villa,1,3141,208.87,6649.79306,1994,Unfurnished,11,13,31,1,9,High,Yes,No,"Gym, Garden, Clubhouse",South,Broker,Under_Construction
1420,West Bengal,Kolkata,Locality_364,Villa,2,3413,77.79,2279.226487,1996,Unfurnished,30,6,29,3,4,Medium,No,Yes,Gym,West,Owner,Ready_to_Move
1421,Gujarat,Surat,Locality_393,Independent House,1,4645,323.92,6973.519914,2009,Semi-furnished,3,5,16,6,10,Low,No,No,"Playground, Gym, Pool, Clubhouse",South,Broker,Under_Construction
1422,Uttarakhand,Dehradun,Locality_88,Independent House,5,1208,417.01,34520.69536,1991,Furnished,0,9,34,2,6,High,No,Yes,"Clubhouse, Garden, Playground, Gym",North,Builder,Ready_to_Move
1423,Karnataka,Mysore,Locality_364,Apartment,4,3613,373.84,10347.07999,1992,Unfurnished,12,20,33,3,2,Low,No,No,"Garden, Playground, Clubhouse, Gym, Pool",South,Builder,Ready_to_Move
1424,Delhi,Dwarka,Locality_199,Villa,5,1661,305.13,18370.25888,2005,Furnished,6,30,20,4,5,Medium,No,No,Pool,South,Owner,Ready_to_Move
1425,Punjab,Amritsar,Locality_411,Villa,5,3554,455.24,12809.22904,1996,Semi-furnished,18,1,29,7,10,Medium,Yes,Yes,"Pool, Garden",West,Builder,Under_Construction
1426,Bihar,Patna,Locality_87,Independent House,5,3720,13.29,357.2580645,2004,Semi-furnished,20,28,21,8,10,Medium,Yes,No,"Playground, Clubhouse",East,Owner,Under_Construction
1427,Telangana,Hyderabad,Locality_412,Independent House,3,2205,389.49,17663.94558,1997,Furnished,15,20,28,6,9,Medium,Yes,Yes,"Pool, Playground",West,Owner,Under_Construction
1428,Odisha,Cuttack,Locality_102,Apartment,3,2522,154.33,6119.349722,2003,Unfurnished,18,25,22,2,10,Low,Yes,Yes,"Garden, Playground",West,Broker,Under_Construction
1429,Uttarakhand,Haridwar,Locality_211,Independent House,5,4922,59.85,1215.969118,2019,Unfurnished,23,18,6,6,6,Medium,No,No,"Pool, Gym",South,Owner,Ready_to_Move
1430,Bihar,Gaya,Locality_187,Apartment,4,893,379.89,42540.87346,2023,Unfurnished,2,6,2,3,6,Low,No,Yes,"Playground, Pool",North,Owner,Under_Construction
1431,Telangana,Warangal,Locality_420,Apartment,4,3284,141.31,4302.984166,2004,Semi-furnished,30,15,21,10,10,Medium,No,Yes,"Garden, Clubhouse, Gym, Playground",South,Broker,Ready_to_Move
1432,Punjab,Ludhiana,Locality_439,Villa,1,1866,269.96,14467.30975,2002,Semi-furnished,17,26,23,6,2,Medium,No,Yes,"Garden, Playground, Pool",South,Builder,Under_Construction
1433,Uttar Pradesh,Noida,Locality_45,Apartment,4,3918,16.23,414.2419602,2003,Unfurnished,18,23,22,2,2,Medium,No,No,"Garden, Playground, Pool, Gym, Clubhouse",North,Broker,Under_Construction
1434,Assam,Guwahati,Locality_333,Independent House,1,648,241.24,37228.39506,2005,Furnished,19,28,20,8,6,High,Yes,No,"Garden, Gym",North,Owner,Under_Construction
1435,Tamil Nadu,Coimbatore,Locality_69,Independent House,1,660,411.11,62289.39394,2022,Unfurnished,2,27,3,5,3,Low,Yes,No,Garden,South,Broker,Ready_to_Move
1436,Madhya Pradesh,Indore,Locality_77,Apartment,2,808,81.18,10047.0297,1994,Semi-furnished,20,23,31,6,4,High,Yes,No,"Gym, Clubhouse, Garden, Playground",West,Broker,Ready_to_Move
1437,Telangana,Hyderabad,Locality_463,Villa,3,4450,238.75,5365.168539,2001,Semi-furnished,16,29,24,1,9,Medium,No,Yes,"Clubhouse, Playground, Pool",West,Owner,Ready_to_Move
1438,Tamil Nadu,Chennai,Locality_164,Villa,4,1353,134.63,9950.480414,2007,Furnished,18,5,18,4,3,Medium,Yes,Yes,"Pool, Clubhouse, Gym, Garden, Playground",North,Builder,Under_Construction
1439,Kerala,Kochi,Locality_299,Apartment,5,4260,311.31,7307.746479,2014,Furnished,30,6,11,1,8,High,No,No,"Pool, Gym, Garden",East,Owner,Ready_to_Move
1440,Jharkhand,Ranchi,Locality_64,Villa,3,4515,204.34,4525.802879,2013,Semi-furnished,29,21,12,2,7,Low,No,Yes,"Playground, Clubhouse, Garden, Gym, Pool",West,Broker,Ready_to_Move
1441,Odisha,Bhubaneswar,Locality_158,Villa,5,4597,14.87,323.4718295,2003,Unfurnished,7,1,22,2,4,Low,No,No,"Playground, Clubhouse, Gym, Garden, Pool",West,Broker,Under_Construction
1442,Assam,Silchar,Locality_182,Apartment,1,3146,367.39,11678.00381,2012,Unfurnished,9,12,13,6,7,Low,Yes,Yes,"Gym, Clubhouse",East,Broker,Ready_to_Move
1443,Kerala,Trivandrum,Locality_464,Apartment,1,3322,467.52,14073.44973,2018,Furnished,7,15,7,3,10,Low,No,No,"Playground, Garden, Clubhouse",West,Broker,Under_Construction
1444,Karnataka,Mysore,Locality_430,Apartment,5,3739,89.27,2387.536775,2019,Unfurnished,3,12,6,3,10,Medium,Yes,No,"Clubhouse, Garden",South,Owner,Ready_to_Move
1445,Rajasthan,Jaipur,Locality_42,Villa,5,2475,109.16,4410.505051,2000,Furnished,0,23,25,5,7,High,No,Yes,"Clubhouse, Garden, Pool",North,Owner,Ready_to_Move
1446,Andhra Pradesh,Vishakhapatnam,Locality_179,Apartment,5,861,346.41,40233.44948,2006,Furnished,7,5,19,8,6,Low,No,Yes,"Playground, Gym, Garden",North,Owner,Ready_to_Move
1447,Uttarakhand,Haridwar,Locality_417,Villa,5,1192,245.31,20579.69799,2016,Unfurnished,13,13,9,1,6,Low,Yes,Yes,"Playground, Pool, Gym, Clubhouse, Garden",North,Builder,Ready_to_Move
1448,Karnataka,Mysore,Locality_402,Independent House,2,2878,411.43,14295.69145,2023,Semi-furnished,10,3,2,5,8,Medium,Yes,No,"Garden, Gym, Pool, Clubhouse",West,Builder,Under_Construction
1449,Maharashtra,Mumbai,Locality_475,Independent House,5,2661,207.28,7789.5528,2018,Furnished,19,30,7,3,6,High,Yes,Yes,"Clubhouse, Playground, Pool",North,Builder,Ready_to_Move
1450,Uttar Pradesh,Lucknow,Locality_117,Apartment,1,709,342.97,48373.76587,1998,Semi-furnished,6,6,27,4,1,Low,Yes,Yes,"Playground, Clubhouse, Pool, Gym",East,Builder,Under_Construction
1451,Kerala,Kochi,Locality_103,Independent House,4,3823,199.65,5222.338478,2015,Furnished,29,4,10,9,9,High,No,Yes,"Gym, Garden, Playground, Clubhouse, Pool",North,Builder,Ready_to_Move
1452,Uttar Pradesh,Lucknow,Locality_321,Independent House,2,1040,190.23,18291.34615,2017,Furnished,26,26,8,5,2,Low,Yes,No,"Pool, Garden, Playground, Clubhouse",West,Owner,Ready_to_Move
1453,West Bengal,Kolkata,Locality_392,Apartment,4,2569,484.22,18848.57921,2011,Unfurnished,15,16,14,6,10,Medium,No,No,"Garden, Pool, Playground",East,Builder,Ready_to_Move
1454,Punjab,Amritsar,Locality_7,Apartment,5,2860,337.36,11795.8042,2007,Semi-furnished,4,11,18,8,9,Low,Yes,Yes,"Clubhouse, Pool",East,Broker,Ready_to_Move
1455,Kerala,Kochi,Locality_237,Villa,5,1277,495.62,38811.27643,2009,Furnished,25,22,16,3,7,High,No,Yes,"Gym, Pool, Clubhouse, Garden",West,Owner,Ready_to_Move
1456,Haryana,Gurgaon,Locality_228,Villa,5,3994,260.57,6524.036054,2004,Semi-furnished,11,20,21,9,9,High,No,Yes,"Clubhouse, Playground, Garden, Gym",West,Owner,Under_Construction
1457,Tamil Nadu,Chennai,Locality_233,Apartment,5,2300,380.56,16546.08696,1992,Furnished,27,18,33,10,7,Medium,Yes,No,Garden,North,Broker,Ready_to_Move
1458,Maharashtra,Mumbai,Locality_130,Independent House,4,1737,405.83,23363.84571,2017,Unfurnished,20,30,8,5,4,Medium,Yes,No,"Playground, Pool",North,Broker,Under_Construction
1459,Odisha,Bhubaneswar,Locality_198,Apartment,2,1448,376.36,25991.71271,2008,Unfurnished,7,10,17,2,2,Low,Yes,Yes,Pool,West,Builder,Under_Construction
1460,Telangana,Warangal,Locality_277,Villa,4,3887,354.48,9119.629534,2000,Furnished,10,4,25,10,6,Low,Yes,No,"Pool, Playground, Garden, Gym",North,Owner,Ready_to_Move
1461,Gujarat,Ahmedabad,Locality_286,Villa,3,4622,155.23,3358.502813,2017,Unfurnished,5,10,8,1,8,High,Yes,Yes,"Playground, Clubhouse",North,Broker,Ready_to_Move
1462,West Bengal,Durgapur,Locality_43,Villa,2,1366,64.44,4717.423133,2006,Furnished,29,20,19,6,8,High,Yes,Yes,"Garden, Clubhouse, Playground, Pool, Gym",East,Builder,Ready_to_Move
1463,Andhra Pradesh,Vijayawada,Locality_279,Independent House,2,4589,300.9,6556.984092,2000,Unfurnished,9,10,25,9,8,Low,Yes,No,"Pool, Garden, Playground",West,Broker,Ready_to_Move
1464,Chhattisgarh,Raipur,Locality_348,Villa,3,2768,73.56,2657.514451,2008,Unfurnished,18,7,17,1,5,High,No,No,"Garden, Playground, Gym, Pool, Clubhouse",West,Builder,Under_Construction
1465,Rajasthan,Jaipur,Locality_259,Apartment,5,4068,482.28,11855.45723,2017,Furnished,11,4,8,10,10,Low,Yes,Yes,"Pool, Gym, Playground, Garden",South,Owner,Under_Construction
1466,Assam,Guwahati,Locality_407,Apartment,2,1640,231.33,14105.4878,2014,Semi-furnished,17,27,11,1,7,Medium,No,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Builder,Under_Construction
1467,Chhattisgarh,Raipur,Locality_447,Independent House,1,742,307.9,41495.95687,1993,Furnished,27,11,32,3,9,High,Yes,Yes,"Gym, Clubhouse, Playground, Garden",East,Builder,Under_Construction
1468,Madhya Pradesh,Bhopal,Locality_473,Independent House,3,829,329.61,39759.95175,2012,Furnished,27,2,13,8,1,Medium,No,Yes,"Clubhouse, Playground, Pool, Garden, Gym",South,Builder,Under_Construction
1469,Delhi,Dwarka,Locality_230,Independent House,5,959,195.74,20410.84463,2002,Unfurnished,26,23,23,7,5,Medium,Yes,Yes,Garden,South,Owner,Under_Construction
1470,Andhra Pradesh,Vishakhapatnam,Locality_335,Villa,3,1942,407.65,20991.24614,2019,Semi-furnished,1,3,6,2,2,Medium,Yes,No,"Clubhouse, Pool, Garden",East,Broker,Ready_to_Move
1471,Karnataka,Mangalore,Locality_131,Apartment,5,1072,363.13,33874.06716,2022,Semi-furnished,22,20,3,9,2,Low,No,No,"Playground, Gym",South,Owner,Under_Construction
1472,Telangana,Hyderabad,Locality_435,Apartment,4,807,397.08,49204.46097,2006,Furnished,20,13,19,10,8,Low,No,Yes,"Garden, Playground, Clubhouse, Gym",South,Broker,Ready_to_Move
1473,Maharashtra,Mumbai,Locality_159,Apartment,2,2274,13.15,578.2761653,2012,Unfurnished,9,18,13,10,2,High,No,No,"Pool, Playground, Gym, Clubhouse",East,Broker,Ready_to_Move
1474,Bihar,Gaya,Locality_12,Independent House,2,4974,464.24,9333.333333,2000,Unfurnished,15,9,25,3,4,High,No,No,"Playground, Gym",West,Owner,Under_Construction
1475,Delhi,Dwarka,Locality_232,Villa,2,981,230.48,23494.39348,2010,Furnished,4,1,15,10,5,Low,Yes,Yes,"Garden, Clubhouse, Gym, Playground",East,Owner,Under_Construction
1476,Haryana,Faridabad,Locality_257,Independent House,5,548,148.5,27098.54015,2006,Unfurnished,28,15,19,1,2,Low,Yes,No,"Gym, Pool, Playground, Clubhouse",West,Owner,Under_Construction
1477,Jharkhand,Ranchi,Locality_201,Villa,5,2214,280.29,12659.8916,2012,Furnished,21,2,13,1,5,Medium,Yes,No,"Gym, Clubhouse, Garden",South,Builder,Under_Construction
1478,Telangana,Hyderabad,Locality_149,Independent House,2,1978,136.35,6893.326593,2023,Semi-furnished,13,24,2,9,5,High,Yes,No,Playground,West,Broker,Under_Construction
1479,Jharkhand,Ranchi,Locality_301,Independent House,2,2898,434.83,15004.48585,1994,Furnished,15,26,31,10,10,Low,Yes,No,"Playground, Gym, Pool, Clubhouse, Garden",West,Broker,Ready_to_Move
1480,Andhra Pradesh,Vijayawada,Locality_75,Independent House,5,4654,439.97,9453.588311,1993,Semi-furnished,26,26,32,2,10,High,No,No,"Clubhouse, Garden, Pool",East,Broker,Under_Construction
1481,Telangana,Hyderabad,Locality_280,Villa,1,1651,229.99,13930.34525,2006,Furnished,5,11,19,5,7,Low,No,Yes,Gym,West,Broker,Under_Construction
1482,Kerala,Trivandrum,Locality_421,Apartment,2,1116,380.69,34112.00717,1998,Furnished,16,8,27,7,2,Low,Yes,Yes,"Playground, Pool, Gym, Garden",West,Owner,Ready_to_Move
1483,Tamil Nadu,Coimbatore,Locality_138,Villa,5,889,10.18,1145.106862,1995,Semi-furnished,19,25,30,10,10,High,No,No,"Playground, Clubhouse",North,Builder,Ready_to_Move
1484,Andhra Pradesh,Vishakhapatnam,Locality_43,Villa,2,2358,344.93,14628.07464,2012,Unfurnished,16,25,13,9,9,Medium,No,No,"Clubhouse, Pool",West,Builder,Under_Construction
1485,Maharashtra,Nagpur,Locality_330,Apartment,2,3777,184.85,4894.095843,2023,Semi-furnished,4,13,2,8,8,Low,Yes,No,Clubhouse,East,Builder,Ready_to_Move
1486,Haryana,Faridabad,Locality_302,Independent House,1,2281,409.1,17935.11618,2005,Furnished,2,13,20,5,2,Low,Yes,Yes,"Gym, Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
1487,Gujarat,Surat,Locality_244,Apartment,4,3654,227.28,6220.032841,1997,Semi-furnished,29,20,28,5,2,High,No,No,"Pool, Playground, Clubhouse, Gym, Garden",East,Builder,Under_Construction
1488,Uttarakhand,Haridwar,Locality_145,Apartment,4,861,239.89,27861.78862,2001,Furnished,22,7,24,10,5,High,Yes,No,"Playground, Garden, Pool, Gym",South,Owner,Ready_to_Move
1489,Bihar,Gaya,Locality_204,Independent House,3,4363,436.76,10010.5432,2023,Furnished,23,13,2,9,9,High,Yes,No,"Playground, Clubhouse, Garden",East,Builder,Under_Construction
1490,Madhya Pradesh,Indore,Locality_14,Villa,2,1322,111.34,8422.087746,2011,Unfurnished,10,14,14,8,6,Low,No,Yes,Gym,West,Builder,Under_Construction
1491,Delhi,Dwarka,Locality_389,Independent House,2,4534,241.75,5331.93648,2023,Semi-furnished,11,8,2,1,6,Low,No,Yes,"Pool, Gym, Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
1492,Telangana,Hyderabad,Locality_67,Apartment,5,2058,460.16,22359.5724,1994,Unfurnished,3,30,31,8,7,Medium,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",South,Broker,Under_Construction
1493,Tamil Nadu,Chennai,Locality_388,Apartment,1,3897,91.6,2350.526046,1991,Furnished,19,13,34,2,5,Medium,No,No,"Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
1494,Rajasthan,Jodhpur,Locality_430,Independent House,1,4175,419.79,10054.8503,2013,Furnished,19,12,12,3,6,Medium,No,No,"Pool, Gym, Playground, Garden, Clubhouse",North,Builder,Ready_to_Move
1495,Telangana,Warangal,Locality_208,Apartment,5,3490,90.41,2590.544413,2000,Furnished,20,6,25,4,1,High,No,No,"Garden, Playground, Pool, Gym",South,Builder,Ready_to_Move
1496,Jharkhand,Jamshedpur,Locality_318,Apartment,1,965,137.23,14220.72539,1991,Furnished,14,11,34,10,4,High,No,Yes,"Gym, Clubhouse, Pool",South,Builder,Under_Construction
1497,Andhra Pradesh,Vishakhapatnam,Locality_305,Apartment,2,1990,224.88,11300.50251,1991,Furnished,7,1,34,1,10,High,Yes,Yes,"Pool, Clubhouse, Playground, Gym",East,Builder,Under_Construction
1498,Assam,Silchar,Locality_441,Villa,5,4053,188.5,4650.875894,2010,Semi-furnished,4,5,15,6,3,Low,No,Yes,"Clubhouse, Garden, Pool",South,Broker,Ready_to_Move
1499,Delhi,New Delhi,Locality_477,Independent House,3,775,86.64,11179.35484,1998,Unfurnished,19,28,27,1,10,Medium,No,No,Gym,South,Builder,Under_Construction
1500,Andhra Pradesh,Vishakhapatnam,Locality_69,Independent House,4,3880,48.82,1258.247423,2016,Semi-furnished,25,29,9,10,2,Low,No,No,Pool,South,Owner,Ready_to_Move
1501,Kerala,Trivandrum,Locality_450,Villa,1,3553,463.51,13045.59527,1990,Semi-furnished,11,24,35,9,2,Medium,No,No,"Pool, Garden",West,Broker,Ready_to_Move
1502,Haryana,Gurgaon,Locality_52,Villa,2,3983,85.01,2134.320864,2007,Furnished,24,13,18,7,7,High,Yes,Yes,Garden,West,Builder,Ready_to_Move
1503,Rajasthan,Jaipur,Locality_168,Apartment,2,1373,372.05,27097.5965,2012,Furnished,1,9,13,5,7,High,No,Yes,Garden,East,Builder,Ready_to_Move
1504,Haryana,Gurgaon,Locality_344,Independent House,2,3048,380.57,12485.89239,2010,Furnished,11,18,15,9,1,Medium,No,No,Gym,East,Owner,Ready_to_Move
1505,Gujarat,Surat,Locality_9,Apartment,5,3795,13.85,364.9538867,1999,Semi-furnished,30,27,26,6,9,Medium,Yes,No,"Clubhouse, Playground, Garden, Gym",West,Broker,Under_Construction
1506,Delhi,Dwarka,Locality_236,Apartment,5,2930,183.17,6251.535836,2001,Furnished,15,5,24,4,2,Low,No,No,"Pool, Playground, Clubhouse, Gym, Garden",West,Broker,Under_Construction
1507,Assam,Guwahati,Locality_456,Independent House,2,3480,12.18,350,2023,Unfurnished,6,29,2,4,9,Low,No,No,"Gym, Pool, Garden",North,Broker,Ready_to_Move
1508,Tamil Nadu,Coimbatore,Locality_203,Apartment,2,3308,39.58,1196.493349,1993,Unfurnished,28,20,32,6,6,High,Yes,No,"Pool, Garden, Playground, Gym",West,Builder,Ready_to_Move
